Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_subtype,cell_subtype_surface_markers,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,subject_status,tissue
SRR8478455,RNA-Seq,124,113791948,PRJNA516681,SAMN10793815,55984056,immune cells,CD45+,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5283550,GSM3576406,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576406,Rectum immune cell,SRP181666,control,rectum
SRR8478463,RNA-Seq,124,532405160,PRJNA516681,SAMN10793814,256015137,immune cells,CD45+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5283551,GSM3576407,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576407,Rectum immune cell,SRP181666,control,rectum
SRR8478465,RNA-Seq,124,433306468,PRJNA516681,SAMN10793814,210554506,immune cells,CD45+,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5283551,GSM3576407,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576407,Rectum immune cell,SRP181666,control,rectum
SRR8478469,RNA-Seq,124,2776608,PRJNA516681,SAMN10793814,1420917,immune cells,CD45+,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX5283551,GSM3576407,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576407,Rectum immune cell,SRP181666,control,rectum
SRR8478470,RNA-Seq,124,2708036,PRJNA516681,SAMN10793814,1393118,immune cells,CD45+,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5283551,GSM3576407,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576407,Rectum immune cell,SRP181666,control,rectum
SRR8478473,RNA-Seq,124,3952902008,PRJNA516681,SAMN10793813,1848323262,immune cells,CD45+,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5283552,GSM3576408,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576408,Rectum immune cell,SRP181666,control,rectum
SRR8478478,RNA-Seq,124,1092379240,PRJNA516681,SAMN10793813,491664871,immune cells,CD45+,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX5283552,GSM3576408,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576408,Rectum immune cell,SRP181666,control,rectum
SRR8478481,RNA-Seq,124,2257312864,PRJNA516681,SAMN10793812,977555198,immune cells,CD45+,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX5283553,GSM3576409,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576409,Rectum immune cell,SRP181666,control,rectum
SRR8478486,RNA-Seq,124,3285266540,PRJNA516681,SAMN10793811,1490316876,immune cells,CD45+,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5283554,GSM3576410,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576410,Rectum immune cell,SRP181666,control,rectum
SRR8478487,RNA-Seq,124,4190350228,PRJNA516681,SAMN10793811,1910976817,immune cells,CD45+,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX5283554,GSM3576410,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576410,Rectum immune cell,SRP181666,control,rectum
SRR8478488,RNA-Seq,124,5309052064,PRJNA516681,SAMN10793811,2440263699,immune cells,CD45+,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX5283554,GSM3576410,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576410,Rectum immune cell,SRP181666,control,rectum
SRR8478489,RNA-Seq,124,1165656420,PRJNA516681,SAMN10793811,505204656,immune cells,CD45+,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX5283554,GSM3576410,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576410,Rectum immune cell,SRP181666,control,rectum
SRR8478493,RNA-Seq,124,1230480520,PRJNA516681,SAMN10793810,534170462,immune cells,CD45+,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX5283555,GSM3576411,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576411,Blood immune cell,SRP181666,control,PBMC
SRR8478503,RNA-Seq,124,1520420916,PRJNA516681,SAMN10793809,745557213,immune cells,CD45+,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX5283556,GSM3576412,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576412,Blood immune cell,SRP181666,control,PBMC
SRR8478510,RNA-Seq,124,1038478176,PRJNA516681,SAMN10793807,486544840,immune cells,CD45+,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5283558,GSM3576414,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576414,Blood immune cell,SRP181666,UC,PBMC
SRR8478511,RNA-Seq,124,1418136292,PRJNA516681,SAMN10793807,666820357,immune cells,CD45+,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX5283558,GSM3576414,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576414,Blood immune cell,SRP181666,UC,PBMC
SRR8478512,RNA-Seq,124,1154804188,PRJNA516681,SAMN10793807,546724823,immune cells,CD45+,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5283558,GSM3576414,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576414,Blood immune cell,SRP181666,UC,PBMC
SRR8478513,RNA-Seq,124,1673782752,PRJNA516681,SAMN10793806,716743458,immune cells,CD45+,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX5283559,GSM3576415,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576415,Blood immune cell,SRP181666,UC,PBMC
SRR8478516,RNA-Seq,124,1517087920,PRJNA516681,SAMN10793806,646332311,immune cells,CD45+,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX5283559,GSM3576415,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576415,Blood immune cell,SRP181666,UC,PBMC
SRR8478525,RNA-Seq,124,19690332,PRJNA516681,SAMN10793804,10233892,immune cells,CD45+,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5283561,GSM3576417,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576417,Blood immune cell,SRP181666,UC,PBMC
SRR8478531,RNA-Seq,124,330840556,PRJNA516681,SAMN10793803,157477978,immune cells,CD45+,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX5283562,GSM3576418,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576418,Blood immune cell,SRP181666,UC,PBMC
SRR8478534,RNA-Seq,124,1788773532,PRJNA516681,SAMN10793802,836014666,immune cells,CD45+,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX5283563,GSM3576419,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576419,Blood immune cell,SRP181666,UC,PBMC
SRR8478535,RNA-Seq,124,1539885320,PRJNA516681,SAMN10793802,723943154,immune cells,CD45+,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5283563,GSM3576419,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576419,Blood immune cell,SRP181666,UC,PBMC
SRR8478536,RNA-Seq,124,1861038128,PRJNA516681,SAMN10793802,882758154,immune cells,CD45+,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX5283563,GSM3576419,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576419,Blood immune cell,SRP181666,UC,PBMC
SRR8478537,RNA-Seq,124,1073024824,PRJNA516681,SAMN10793801,522949097,immune cells,CD45+,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX5283564,GSM3576420,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576420,Blood immune cell,SRP181666,control,PBMC
SRR8478538,RNA-Seq,124,1710633940,PRJNA516681,SAMN10793801,821073587,immune cells,CD45+,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX5283564,GSM3576420,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576420,Blood immune cell,SRP181666,control,PBMC
SRR8478546,RNA-Seq,124,1562590464,PRJNA516681,SAMN10793801,743997432,immune cells,CD45+,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX5283564,GSM3576420,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576420,Blood immune cell,SRP181666,control,PBMC
SRR8478547,RNA-Seq,124,1557590412,PRJNA516681,SAMN10793801,747021423,immune cells,CD45+,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5283564,GSM3576420,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576420,Blood immune cell,SRP181666,control,PBMC
SRR8478548,RNA-Seq,124,1099477868,PRJNA516681,SAMN10793801,542128861,immune cells,CD45+,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5283564,GSM3576420,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576420,Blood immune cell,SRP181666,control,PBMC
SRR8478551,RNA-Seq,124,1612108252,PRJNA516681,SAMN10793801,775513552,immune cells,CD45+,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX5283564,GSM3576420,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576420,Blood immune cell,SRP181666,control,PBMC
SRR8478552,RNA-Seq,124,1154952244,PRJNA516681,SAMN10793801,572232060,immune cells,CD45+,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5283564,GSM3576420,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576420,Blood immune cell,SRP181666,control,PBMC
SRR8478559,RNA-Seq,124,292622640,PRJNA516681,SAMN10793733,142649795,immune cells,CD45+,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX5283565,GSM3576421,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576421,Blood immune cell,SRP181666,control,PBMC
SRR8478561,RNA-Seq,124,359632736,PRJNA516681,SAMN10793733,174281775,immune cells,CD45+,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5283565,GSM3576421,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576421,Blood immune cell,SRP181666,control,PBMC
SRR8478564,RNA-Seq,124,217168764,PRJNA516681,SAMN10793733,108287515,immune cells,CD45+,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5283565,GSM3576421,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576421,Blood immune cell,SRP181666,control,PBMC
SRR8478565,RNA-Seq,124,323846088,PRJNA516681,SAMN10793733,157004931,immune cells,CD45+,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX5283565,GSM3576421,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576421,Blood immune cell,SRP181666,control,PBMC
SRR8478570,RNA-Seq,124,1690655060,PRJNA516681,SAMN10793732,784344913,immune cells,CD45+,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX5283566,GSM3576422,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576422,Blood immune cell,SRP181666,control,PBMC
SRR8478571,RNA-Seq,124,1292125384,PRJNA516681,SAMN10793732,594119266,immune cells,CD45+,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5283566,GSM3576422,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576422,Blood immune cell,SRP181666,control,PBMC
SRR8478572,RNA-Seq,124,1475283676,PRJNA516681,SAMN10793732,681692098,immune cells,CD45+,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5283566,GSM3576422,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576422,Blood immune cell,SRP181666,control,PBMC
SRR8478574,RNA-Seq,124,1347656428,PRJNA516681,SAMN10793732,613745696,immune cells,CD45+,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX5283566,GSM3576422,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576422,Blood immune cell,SRP181666,control,PBMC
SRR8478578,RNA-Seq,124,1358144596,PRJNA516681,SAMN10793731,616281096,immune cells,CD45+,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX5283567,GSM3576423,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576423,Blood immune cell,SRP181666,control,PBMC
SRR8478581,RNA-Seq,124,1546539780,PRJNA516681,SAMN10793730,681276886,immune cells,CD45+,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX5283568,GSM3576424,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576424,Blood immune cell,SRP181666,control,PBMC
SRR8478582,RNA-Seq,124,1006226148,PRJNA516681,SAMN10793730,439961223,immune cells,CD45+,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX5283568,GSM3576424,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576424,Blood immune cell,SRP181666,control,PBMC
SRR8478584,RNA-Seq,124,1841439060,PRJNA516681,SAMN10793730,807538194,immune cells,CD45+,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX5283568,GSM3576424,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576424,Blood immune cell,SRP181666,control,PBMC
SRR8478587,RNA-Seq,124,1859835080,PRJNA516681,SAMN10793729,853599078,immune cells,CD45+,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5283569,GSM3576425,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576425,Blood immune cell,SRP181666,control,PBMC
SRR8478590,RNA-Seq,124,772655904,PRJNA516681,SAMN10793728,378636084,immune cells,CD45+,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5283570,GSM3576426,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576426,Ileum immune cell,SRP181666,control,ileum
SRR8478591,RNA-Seq,124,749942328,PRJNA516681,SAMN10793728,368731719,immune cells,CD45+,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX5283570,GSM3576426,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576426,Ileum immune cell,SRP181666,control,ileum
SRR8478598,RNA-Seq,124,405258412,PRJNA516681,SAMN10793728,197246799,immune cells,CD45+,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX5283570,GSM3576426,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576426,Ileum immune cell,SRP181666,control,ileum
